event,league,date,fighter_1,fighter_2,winner,match_arm,f1_age,f2_age,f1_style_dominant,f1_style_additional,f2_style_dominant,f2_style_additional,f1_weight,f2_weight,weight_advantage,f1_height,f2_height,height_advantage,f1_country,f2_country,f1_travel_penalty,f2_travel_penalty,domestic_advantage,travel_type,label,f1_style_combo_success_percent,f2_style_combo_success_percent,athlete1_style_advantage_rate,f1_gender,f2_gender,f1_is_current_title_holder,f2_is_current_title_holder,f1_days_from_last_match,f2_days_from_last_match,f1_low_rank_predictions,f1_high_rank_predictions,f2_low_rank_predictions,f2_high_rank_predictions,f1_all_rank_predictions,f2_all_rank_predictions,f1_left_winning_streak,f1_right_winning_streak,f1_winrate_last_5,f2_left_winning_streak,f2_right_winning_streak,f2_winrate_last_5,f1_domestic_win_rate,f1_transatlantic_win_rate,f2_domestic_win_rate,f2_transatlantic_win_rate,num_shared_opponents_value,mma_math_positive,mma_math_negative,has_head_to_head,head_to_head_result,second_order_mma_math_difference,second_order_mma_math_positive,second_order_mma_math_negative
East vs West 18,EvW,"June 21, 2025",Riekerd Bornman,Wallace Dilley,Riekerd Bornman,Right,21.0,46.0,Toproll,Hook,King's Move,Hook,122.0,140.0,-18.0,191.0,190.0,1.0,South Africa,United States Of America,0,0,0,domestic,1,53.4,16.7,100.0,male,male,False,False,0,0,2,0,1,1,3,3,0,0,0.0,0,0,0.0,1.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Wallace Dilley,Riekerd Bornman,Riekerd Bornman,Right,46.0,21.0,King's Move,Hook,Toproll,Hook,140.0,122.0,18.0,190.0,191.0,-1.0,United States Of America,South Africa,0,0,0,domestic,0,16.7,53.4,0.0,male,male,False,False,0,0,1,1,2,0,3,3,0,0,0.0,0,0,0.0,0.0,0.5,1.0,0.5,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Ryan Belanger,Allen Ford,Ryan Belanger,Right,41.0,22.0,Hook,Press,Toproll,Hook,141.0,130.0,11.0,190.5,190.5,0.0,Canada,Canada,1,1,0,domestic,1,37.2,53.4,40.4,male,male,False,False,315,0,1,0,0,0,2,0,0,0,0.0,0,0,0.0,1.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Allen Ford,Ryan Belanger,Ryan Belanger,Right,22.0,41.0,Toproll,Hook,Hook,Press,130.0,141.0,-11.0,190.5,190.5,-0.0,Canada,Canada,1,1,0,domestic,0,53.4,37.2,59.6,male,male,False,False,0,315,0,0,1,0,0,2,0,0,0.0,0,0,0.0,0.0,0.5,1.0,1.0,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Joseph Meranto,Ivan Portela,Joseph Meranto,Right,23.0,45.0,Toproll,,Toproll,Hook,70.0,70.0,0.0,173.0,170.0,3.0,United States Of America,Spain,0,0,0,domestic,1,50.0,53.4,50.0,male,male,False,False,84,0,1,1,0,0,2,1,0,2,1.0,0,0,0.0,1.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Ivan Portela,Joseph Meranto,Joseph Meranto,Right,45.0,23.0,Toproll,Hook,Toproll,,70.0,70.0,-0.0,170.0,173.0,-3.0,Spain,United States Of America,0,0,0,domestic,0,53.4,50.0,50.0,male,male,False,False,0,84,0,0,1,1,1,2,0,0,0.0,0,2,1.0,0.0,0.5,1.0,0.5,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Pavlo Derbedyenyev,Wagner Bortalato,Pavlo Derbedyenyev,Left,44.0,44.0,Toproll,Hook,Hook,,120.0,151.0,-31.0,185.0,188.0,-3.0,Ukraine,Brazil,0,1,1,transatlantic,1,53.4,42.9,59.6,male,male,False,False,693,0,0,0,0,2,0,2,0,-2,0.0,0,0,0.0,0.0,1.0,0.5,0.0,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Wagner Bortalato,Pavlo Derbedyenyev,Pavlo Derbedyenyev,Left,44.0,44.0,Hook,,Toproll,Hook,151.0,120.0,31.0,188.0,185.0,3.0,Brazil,Ukraine,1,0,-1,transatlantic,0,42.9,53.4,40.4,male,male,False,False,0,693,0,2,0,0,2,0,0,0,0.0,0,-2,0.0,0.5,0.0,0.0,1.0,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Devon Larratt,Alex Kurdecha,Devon Larratt,Left,50.0,36.0,Toproll,King's Move,Toproll,Press,120.0,150.0,-30.0,196.0,201.0,-5.0,Canada,Poland,1,0,-1,transatlantic,1,80.0,58.5,50.0,male,male,False,False,84,126,8,6,3,0,20,7,2,5,1.0,-2,0,0.4,0.5,0.8,0.286,0.0,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Alex Kurdecha,Devon Larratt,Devon Larratt,Left,36.0,50.0,Toproll,Press,Toproll,King's Move,150.0,120.0,30.0,201.0,196.0,5.0,Poland,Canada,0,1,1,transatlantic,0,58.5,80.0,50.0,male,male,False,False,126,84,3,0,8,6,7,20,-2,0,0.4,2,5,1.0,0.286,0.0,0.5,0.8,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Paul Linn,Arsen Khachatryan,Paul Linn,Right,44.0,27.0,Side,Hook,Toproll,Hook,95.0,95.0,0.0,183.0,185.0,-2.0,United States Of America,Russia,0,0,0,domestic,1,47.4,53.4,42.9,male,male,False,False,42,84,5,1,1,0,8,4,0,0,0.6,0,0,0.0,0.636,0.5,0.5,0.5,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Arsen Khachatryan,Paul Linn,Paul Linn,Right,27.0,44.0,Toproll,Hook,Side,Hook,95.0,95.0,-0.0,185.0,183.0,2.0,Russia,United States Of America,0,0,0,domestic,0,53.4,47.4,57.1,male,male,False,False,84,42,1,0,5,1,4,8,0,0,0.0,0,0,0.6,0.5,0.5,0.636,0.5,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Matt Mask,Irakli Zirakashvili,Matt Mask,Left,43.0,27.0,Toproll,Hook,Toproll,Press,114.0,95.0,19.0,196.0,190.0,6.0,Canada,Georgia,1,0,-1,transatlantic,1,53.4,58.5,50.0,male,male,False,False,42,231,5,2,4,1,10,8,0,0,0.8,0,5,1.0,1.0,0.455,0.667,0.5,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Irakli Zirakashvili,Matt Mask,Matt Mask,Left,27.0,43.0,Toproll,Press,Toproll,Hook,95.0,114.0,-19.0,190.0,196.0,-6.0,Georgia,Canada,0,1,1,transatlantic,0,58.5,53.4,50.0,male,male,False,False,231,42,4,1,5,2,8,10,0,5,1.0,0,0,0.8,0.667,0.5,1.0,0.455,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Michael Todd,Georgii Dzeranov,Michael Todd,Right,51.0,38.0,King's Move,Side,Hook,Side,105.0,123.0,-18.0,191.0,190.0,1.0,United States Of America,Kazakhstan,0,0,0,domestic,1,45.5,44.2,40.0,male,male,False,False,42,42,5,3,3,0,8,7,0,-2,0.6,0,0,0.6,0.5,0.0,0.571,1.0,0,1,1,0,0,11,16,5
East vs West 18,EvW,"June 21, 2025",Georgii Dzeranov,Michael Todd,Michael Todd,Right,38.0,51.0,Hook,Side,King's Move,Side,123.0,105.0,18.0,190.0,191.0,-1.0,Kazakhstan,United States Of America,0,0,0,domestic,0,44.2,45.5,60.0,male,male,False,False,42,42,3,0,5,3,7,8,0,0,0.6,0,-2,0.6,0.571,1.0,0.5,0.0,0,1,1,0,0,-11,5,16
East vs West 18,EvW,"June 21, 2025",Fia Reisek,Elin Janeheim,Fia Reisek,Right,40.0,23.0,Toproll,,Toproll,Hook,71.0,70.0,1.0,170.0,169.0,1.0,Sweden,Sweden,0,0,0,domestic,1,50.0,53.4,50.0,male,male,True,False,126,0,2,0,0,0,3,0,0,3,1.0,0,0,0.0,1.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Elin Janeheim,Fia Reisek,Fia Reisek,Right,23.0,40.0,Toproll,Hook,Toproll,,70.0,71.0,-1.0,169.0,170.0,-1.0,Sweden,Sweden,0,0,0,domestic,0,53.4,50.0,50.0,male,male,False,True,0,126,0,0,2,0,0,3,0,0,0.0,0,3,1.0,0.0,0.5,1.0,1.0,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",Artyom Morozov,Alex Kurdecha,Artyom Morozov,Right,27.0,36.0,Toproll,Hook,Toproll,Press,142.0,150.0,-8.0,195.0,201.0,-6.0,Kazakhstan,Poland,0,0,0,domestic,1,53.4,58.5,50.0,male,male,False,False,266,126,6,3,3,0,12,7,7,0,0.6,-2,0,0.4,0.733,1.0,0.286,0.0,0,1,1,1,1,2,11,9
